#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,instance,job,user
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:03.406Z,74973184,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:08.406Z,74973184,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:13.407Z,74981376,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:18.406Z,74989568,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:23.406Z,74997760,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:28.406Z,75005952,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:33.406Z,75014144,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:38.406Z,75038720,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:43.406Z,75063296,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:48.406Z,75063296,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:53.407Z,75071488,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:58.407Z,75079680,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:03.406Z,75087872,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:08.407Z,75096064,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:13.406Z,75104256,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:18.406Z,75112448,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:23.407Z,75120640,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:28.407Z,75128832,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
