"Time","TARGET"
2023-11-08 10:14:45,10.7 GB
2023-11-08 10:15:00,10.9 GB
2023-11-08 10:15:15,11.1 GB
2023-11-08 10:15:30,11.3 GB
2023-11-08 10:15:45,11.5 GB
2023-11-08 10:16:00,11.6 GB
2023-11-08 10:16:15,11.7 GB
2023-11-08 10:16:30,11.8 GB
2023-11-08 10:16:45,12.0 GB
2023-11-08 10:17:00,12.1 GB
2023-11-08 10:17:15,12.2 GB
2023-11-08 10:17:30,12.3 GB
2023-11-08 10:17:45,12.4 GB
2023-11-08 10:18:00,12.5 GB
2023-11-08 10:18:15,12.6 GB
2023-11-08 10:18:30,12.7 GB
2023-11-08 10:18:45,12.8 GB
2023-11-08 10:19:00,13.0 GB
2023-11-08 10:19:15,13.1 GB
2023-11-08 10:19:30,10.2 GB
2023-11-08 10:19:45,10.2 GB
2023-11-08 10:20:00,10.2 GB
2023-11-08 10:20:15,10.2 GB
2023-11-08 10:20:30,10.2 GB
2023-11-08 10:20:45,10.2 GB
2023-11-08 10:21:00,10.2 GB
2023-11-08 10:21:15,10.2 GB
2023-11-08 10:21:30,10.2 GB
2023-11-08 10:21:45,10.3 GB
2023-11-08 10:22:00,10.5 GB
2023-11-08 10:22:15,10.6 GB
2023-11-08 10:22:30,10.7 GB
2023-11-08 10:22:45,10.8 GB
2023-11-08 10:23:00,10.9 GB
2023-11-08 10:23:15,11.1 GB
2023-11-08 10:23:30,11.3 GB
2023-11-08 10:23:45,11.4 GB
2023-11-08 10:24:00,11.6 GB
2023-11-08 10:24:15,11.8 GB
2023-11-08 10:24:30,11.9 GB
2023-11-08 10:24:45,12.0 GB
2023-11-08 10:25:00,12.1 GB
2023-11-08 10:25:15,12.2 GB
2023-11-08 10:25:30,12.3 GB
2023-11-08 10:25:45,12.5 GB
2023-11-08 10:26:00,12.6 GB
2023-11-08 10:26:15,12.7 GB
2023-11-08 10:26:30,12.8 GB
2023-11-08 10:26:45,12.9 GB
2023-11-08 10:27:00,13.0 GB
2023-11-08 10:27:15,13.1 GB
2023-11-08 10:27:30,13.2 GB
2023-11-08 10:27:45,13.3 GB
2023-11-08 10:28:00,13.4 GB
2023-11-08 10:28:15,13.6 GB
